COG0477	GEPR	Carbohydrate_transport_and_metabolism/Amino_acid_transport_and_metabolism/Inorganic_ion_transport_and_metabolism/General_function_prediction_only	MFS family permease
COG3399	S	Function_unknown	Uncharacterized protein
COG3400	S	Function_unknown	Uncharacterized protein
COG3402	S	Function_unknown	"Uncharacterized membrane protein YdbS, contains bPH2 (bacterial pleckstrin homology) domain"
COG3403	S	Function_unknown	"Uncharacterized protein YcgG, contains conserved FPC and CPF motifs"
COG3410	S	Function_unknown	"Uncharacterized protein, DUF2075 family"
COG3416	S	Function_unknown	Uncharacterized protein
COG3421	S	Function_unknown	Uncharacterized protein
COG3422	S	Function_unknown	"Uncharacterized conserved protein YegP, UPF0339 family"
COG3428	S	Function_unknown	"Uncharacterized membrane protein YdbT, contains bPH2 (bacterial pleckstrin homology) domain"
COG3431	S	Function_unknown	"Uncharacterized membrane protein, DUF373 family"
COG3439	S	Function_unknown	"Uncharacterized conserved protein, DUF302 family"
COG3461	S	Function_unknown	Uncharacterized protein
COG3462	S	Function_unknown	Uncharacterized membrane protein
COG3463	S	Function_unknown	Uncharacterized membrane protein
COG3465	S	Function_unknown	Uncharacterized protein YwgA
COG3471	S	Function_unknown	Predicted secreted (periplasmic) protein
COG3472	S	Function_unknown	Uncharacterized protein
COG3477	S	Function_unknown	"Uncharacterized membrane protein YagU, involved in acid resistance, DUF1440 family"
COG3482	S	Function_unknown	Uncharacterized protein
COG3487	S	Function_unknown	Uncharacterized iron-regulated protein
COG3489	S	Function_unknown	Predicted periplasmic lipoprotein
COG3490	S	Function_unknown	Uncharacterized protein
COG3492	S	Function_unknown	Uncharacterized protein
COG3494	S	Function_unknown	"Uncharacterized conserved protein, DUF1009 family"
COG3495	S	Function_unknown	Uncharacterized protein
COG3496	S	Function_unknown	"Uncharacterized conserved protein, DUF1365 family"
COG3502	S	Function_unknown	"Uncharacterized conserved protein, DUF952 family"
COG3503	S	Function_unknown	Uncharacterized membrane protein
COG3506	S	Function_unknown	"Regulation of enolase protein 1 (function unknown), concanavalin A-like superfamily"
COG3514	S	Function_unknown	"Uncharacterized conserved protein, DUF4415 family"
COG3526	S	Function_unknown	"Predicted selenoprotein, Rdx family"
COG3528	S	Function_unknown	Uncharacterized protein
COG3530	S	Function_unknown	"Uncharacterized conserved protein, DUF3820 family"
COG3533	S	Function_unknown	"Uncharacterized conserved protein, DUF1680 family"
COG3535	S	Function_unknown	"Uncharacterized conserved protein, DUF917 family"
COG3536	S	Function_unknown	"Uncharacterized conserved protein, DUF971 family"
COG3538	S	Function_unknown	Meiotically up-regulated gene 157 (Mug157) protein (function unknown)
COG3543	S	Function_unknown	Uncharacterized protein
COG3544	S	Function_unknown	"Uncharacterized conserved protein, DUF305 family"
COG3548	S	Function_unknown	Uncharacterized membrane protein
COG3551	S	Function_unknown	Uncharacterized protein
COG3552	S	Function_unknown	"Uncharacterized conserved protein, contains von Willebrand factor type A (vWA) domain"
COG3553	S	Function_unknown	Uncharacterized protein
COG3554	S	Function_unknown	Uncharacterized protein
COG3556	S	Function_unknown	Uncharacterized membrane protein
COG3557	S	Function_unknown	Uncharacterized domain/protein associated with RNAses G and E
COG3558	S	Function_unknown	"Uncharacterized conserved protein, nuclear transport factor 2 (NTF2) superfamily"
COG3564	S	Function_unknown	"Uncharacterized conserved protein, DUF779 family"
COG3566	S	Function_unknown	Uncharacterized protein
COG3567	S	Function_unknown	Uncharacterized protein
COG3575	S	Function_unknown	Uncharacterized protein
COG3583	S	Function_unknown	"Uncharacterized conserved protein YabE, contains G5 and tandem DUF348 domains"
COG3584	S	Function_unknown	3D (Asp-Asp-Asp) domain
COG3586	S	Function_unknown	Predicted transport protein
COG3589	S	Function_unknown	Uncharacterized protein
COG3592	S	Function_unknown	Uncharacterized Fe-S cluster protein YjdI
COG3595	S	Function_unknown	"Uncharacterized conserved protein YvlB, contains DUF4097 and DUF4098 domains"
COG3597	S	Function_unknown	"Uncharacterized conserved protein, DUF697 family"
COG3602	S	Function_unknown	Uncharacterized protein
COG3603	S	Function_unknown	Uncharacterized protein
COG3610	S	Function_unknown	"Uncharacterized membrane protein YjjB, DUF3815 family"
COG3612	S	Function_unknown	Uncharacterized protein
COG3615	S	Function_unknown	"Uncharacterized protein/domain, possibly involved in tellurite resistance"
COG3619	S	Function_unknown	"Uncharacterized membrane protein YoaK, UPF0700 family"
COG3641	S	Function_unknown	Uncharacterized membrane protein (does not regulate perfringolysin O expression)
COG3644	S	Function_unknown	Uncharacterized protein
COG3647	S	Function_unknown	Uncharacterized membrane protein YjdF
COG3650	S	Function_unknown	Uncharacterized membrane protein
COG3651	S	Function_unknown	"Uncharacterized conserved protein, DUF2237 family"
COG3652	S	Function_unknown	Predicted outer membrane protein
COG3656	S	Function_unknown	Predicted periplasmic protein
COG3662	S	Function_unknown	"Uncharacterized conserved protein, DUF2236 family"
COG3665	S	Function_unknown	"Uncharacterized conserved protein YcgI, DUF1989 family"
COG3671	S	Function_unknown	Uncharacterized membrane protein
COG3673	S	Function_unknown	"Uncharacterized protein, PA2063/DUF2235 family"
COG3680	S	Function_unknown	Uncharacterized protein
COG3686	S	Function_unknown	"Uncharacterized conserved protein, MAPEG superfamily"
COG3689	S	Function_unknown	"Uncharacterized membrane protein YcgQ, UPF0703/DUF1980 family"
COG3691	S	Function_unknown	"Uncharacterized conserved protein YfcZ, UPF0381/DUF406 family"
COG3692	S	Function_unknown	"Uncharacterized protein YifN, PemK superfamily"
COG3698	S	Function_unknown	"Uncharacterized protein YigE, DUF2233 family"
COG3714	S	Function_unknown	Uncharacterized membrane protein YhhN
COG3726	S	Function_unknown	Uncharacterized membrane protein affecting hemolysin expression
COG3735	S	Function_unknown	"Uncharacterized conserved protein YbaP, TraB family"
COG3737	S	Function_unknown	"Uncharacterized conserved protein, contains Mth938-like domain"
COG3738	S	Function_unknown	"Uncharacterized protein YijF, DUF1287 family"
COG3739	S	Function_unknown	"Uncharacterized membrane protein YoaT, DUF817 family"
COG3742	S	Function_unknown	"Uncharacterized protein, contains PIN domain"
COG3748	S	Function_unknown	Uncharacterized membrane protein
COG3749	S	Function_unknown	"Uncharacterized conserved protein, DUF934 family"
COG3750	S	Function_unknown	"Uncharacterized conserved protein, UPF0335 family"
COG3753	S	Function_unknown	"Uncharacterized conserved protein YidB, DUF937 family"
COG3755	S	Function_unknown	"Uncharacterized conserved protein YecT, DUF1311 family"
COG3756	S	Function_unknown	"Uncharacterized conserved protein YdaU, DUF1376 family"
COG3759	S	Function_unknown	Uncharacterized membrane protein
COG3760	S	Function_unknown	Uncharacterized protein
COG3762	S	Function_unknown	Uncharacterized membrane protein
COG3763	S	Function_unknown	"Uncharacterized protein YneF, UPF0154 family"
COG3766	S	Function_unknown	"Uncharacterized membrane protein YjfL, UPF0719 family"
COG3767	S	Function_unknown	Uncharacterized low-complexity protein
COG3768	S	Function_unknown	"Uncharacterized membrane protein YcjF, UPF0283 family"
COG3771	S	Function_unknown	"Uncharacterized membrane protein YciS, DUF1049 family"
COG3776	S	Function_unknown	"Uncharacterized conserved protein YhhL, DUF1145 family"
COG3779	S	Function_unknown	"Uncharacterized conserved protein YegJ, DUF2314 family"
COG3782	S	Function_unknown	Uncharacterized protein
COG3784	S	Function_unknown	"Uncharacterized conserved protein YdbL, DUF1318 family"
COG3787	S	Function_unknown	"Uncharacterized conserved protein YhbP, UPF0306 family"
COG3788	S	Function_unknown	"Uncharacterized membrane protein YecN, MAPEG domain"
COG3789	S	Function_unknown	"Uncharacterized protein YjfI, DUF2170 family"
COG3790	S	Function_unknown	"Predicted membrane protein, encoded in cydAB operon"
COG3791	S	Function_unknown	Uncharacterized conserved protein
COG3792	S	Function_unknown	Uncharacterized protein
COG3795	S	Function_unknown	Uncharacterized conserved protein
COG3797	S	Function_unknown	"Uncharacterized conserved protein, DUF1697 family"
COG3798	S	Function_unknown	Uncharacterized protein
COG3801	S	Function_unknown	Uncharacterized protein
COG3802	S	Function_unknown	Uncharacterized protein
COG3803	S	Function_unknown	"Uncharacterized conserved protein, DUF924 family"
COG3804	S	Function_unknown	Uncharacterized protein
COG3807	S	Function_unknown	SH3-like domain
COG3811	S	Function_unknown	"Uncharacterized protein YjhX, UPF0386 family"
COG3812	S	Function_unknown	Uncharacterized protein
COG3813	S	Function_unknown	Uncharacterized protein
COG3814	S	Function_unknown	Uncharacterized protein
COG3815	S	Function_unknown	Uncharacterized membrane protein
COG3816	S	Function_unknown	Uncharacterized protein
COG3817	S	Function_unknown	Uncharacterized membrane protein
COG3819	S	Function_unknown	Uncharacterized membrane protein
COG3820	S	Function_unknown	Uncharacterized protein
COG3821	S	Function_unknown	Uncharacterized membrane protein
COG3825	S	Function_unknown	"Uncharacterized conserved protein, contains von Willebrand factor type A (vWA) domain"
COG3826	S	Function_unknown	Uncharacterized protein
COG3832	S	Function_unknown	"Uncharacterized conserved protein YndB, AHSA1/START domain"
COG3837	S	Function_unknown	"Uncharacterized conserved protein, cupin superfamily"
COG3856	S	Function_unknown	Small basic protein (function unknown)
COG3860	S	Function_unknown	Uncharacterized protein
COG3861	S	Function_unknown	Stress response protein YsnF (function unknown)
COG3862	S	Function_unknown	Uncharacterized protein with two CxxC motifs
COG3863	S	Function_unknown	Uncharacterized protein YycO
COG3868	S	Function_unknown	Uncharacterized protein
COG3870	S	Function_unknown	Uncharacterized protein YaaQ
COG3871	S	Function_unknown	General stress protein 26 (function unknown)
COG3872	S	Function_unknown	Uncharacterized conserved protein YqhQ
COG3874	S	Function_unknown	Uncharacterized spore protein YtfJ
COG3876	S	Function_unknown	"Uncharacterized conserved protein YbbC, DUF1343 family"
COG3877	S	Function_unknown	Uncharacterized protein
COG3878	S	Function_unknown	Uncharacterized protein YwqG
COG3879	S	Function_unknown	"Uncharacterized conserved protein YlxW, UPF0749 family"
COG3881	S	Function_unknown	"Uncharacterized protein YrrD, contains PRC-barrel domain"
COG3883	S	Function_unknown	Uncharacterized N-terminal domain of peptidoglycan hydrolase CwlO
COG3889	S	Function_unknown	Predicted periplasmic protein
COG3894	S	Function_unknown	"Uncharacterized 2Fe-2 and 4Fe-4S clusters-containing protein, contains DUF4445 domain"
COG3898	S	Function_unknown	Uncharacterized membrane-anchored protein
COG3900	S	Function_unknown	Predicted periplasmic protein
COG3904	S	Function_unknown	Predicted periplasmic protein
COG3906	S	Function_unknown	"Uncharacterized protein YrzB, UPF0473 family"
COG3908	S	Function_unknown	Uncharacterized protein
COG3913	S	Function_unknown	Uncharacterized protein
COG3915	S	Function_unknown	Uncharacterized protein
COG3918	S	Function_unknown	Uncharacterized membrane protein
COG3921	S	Function_unknown	Uncharacterized conserved protein
COG3924	S	Function_unknown	Uncharacterized membrane protein YhdT
COG3930	S	Function_unknown	Uncharacterized protein
COG3932	S	Function_unknown	Uncharacterized conserved protein
COG3943	S	Function_unknown	Uncharacterized conserved protein
COG3949	S	Function_unknown	Uncharacterized membrane protein YkvI
COG4001	S	Function_unknown	Uncharacterized protein
COG4003	S	Function_unknown	Uncharacterized protein
COG4004	S	Function_unknown	Uncharacterized protein
COG4009	S	Function_unknown	Uncharacterized protein
COG4010	S	Function_unknown	Uncharacterized protein
COG4012	S	Function_unknown	"Uncharacterized protein, DUF1786 family"
COG4013	S	Function_unknown	Uncharacterized protein
COG4014	S	Function_unknown	Uncharacterized protein
COG4016	S	Function_unknown	"Uncharacterized protein, UPF0254 family"
COG4017	S	Function_unknown	Uncharacterized protein
COG4018	S	Function_unknown	Uncharacterized protein
COG4019	S	Function_unknown	Uncharacterized protein
COG4020	S	Function_unknown	Uncharacterized protein
COG4022	S	Function_unknown	Uncharacterized protein
COG4024	S	Function_unknown	Uncharacterized protein
COG4025	S	Function_unknown	Uncharacterized membrane protein
COG4029	S	Function_unknown	Uncharacterized protein
COG4031	S	Function_unknown	Uncharacterized protein
COG4033	S	Function_unknown	Uncharacterized protein
COG4034	S	Function_unknown	Uncharacterized protein
COG4035	S	Function_unknown	Uncharacterized membrane protein
COG4040	S	Function_unknown	Uncharacterized membrane protein
COG4044	S	Function_unknown	Uncharacterized protein
COG4046	S	Function_unknown	Uncharacterized protein
COG4048	S	Function_unknown	Uncharacterized protein
COG4050	S	Function_unknown	Uncharacterized protein
COG4051	S	Function_unknown	Uncharacterized protein
COG4053	S	Function_unknown	Uncharacterized protein
COG4065	S	Function_unknown	Uncharacterized protein
COG4066	S	Function_unknown	"Uncharacterized protein, UPF0305 family"
COG4067	S	Function_unknown	Uncharacterized conserved protein
COG4069	S	Function_unknown	Uncharacterized protein
COG4070	S	Function_unknown	"Uncharacterized protein, methanogenesis marker protein 3, UPF0288 family"
COG4071	S	Function_unknown	"Uncharacterized protein, related to F420-0:gamma-glutamyl ligase"
COG4072	S	Function_unknown	Uncharacterized protein
COG4073	S	Function_unknown	Uncharacterized protein
COG4075	S	Function_unknown	"Uncharacterized protein, distantly related to nitrogen regulatory protein PII"
COG4077	S	Function_unknown	Uncharacterized protein
COG4079	S	Function_unknown	Uncharacterized protein
COG4081	S	Function_unknown	Uncharacterized protein
COG4086	S	Function_unknown	"Uncharacterized protein YpuA, DUF1002 family"
COG4089	S	Function_unknown	Uncharacterized membrane protein
COG4090	S	Function_unknown	Uncharacterized protein
COG4093	S	Function_unknown	Uncharacterized protein
COG4094	S	Function_unknown	Uncharacterized membrane protein
COG4095	S	Function_unknown	"Uncharacterized conserved protein, contains PQ loop repeat"
COG4102	S	Function_unknown	"Uncharacterized conserved protein, DUF1501 family"
COG4103	S	Function_unknown	"Uncharacterized conserved protein, tellurite resistance protein B (TerB) family"
COG4111	S	Function_unknown	Uncharacterized conserved protein
COG4116	S	Function_unknown	Uncharacterized protein YjbK
COG4125	S	Function_unknown	Uncharacterized membrane protein
COG4129	S	Function_unknown	"Uncharacterized membrane protein YgaE, UPF0421/DUF939 family"
COG4194	S	Function_unknown	Uncharacterized membrane protein
COG4196	S	Function_unknown	"Uncharacterized conserved protein, DUF2126 family"
COG4198	S	Function_unknown	"Uncharacterized conserved protein, DUF1015 family"
COG4200	S	Function_unknown	Uncharacterized protein
COG4222	S	Function_unknown	Uncharacterized conserved protein
COG4223	S	Function_unknown	Uncharacterized conserved protein
COG4224	S	Function_unknown	"Uncharacterized protein YnzC, UPF0291/DUF896 family"
COG4241	S	Function_unknown	"Uncharacterized conserved protein YybS, DUF2232 family"
COG4243	S	Function_unknown	Uncharacterized membrane protein
COG4244	S	Function_unknown	Uncharacterized membrane protein
COG4245	S	Function_unknown	"Uncharacterized conserved protein YegL, contains vWA domain of TerY type"
COG4246	S	Function_unknown	Uncharacterized protein
COG4253	S	Function_unknown	"Uncharacterized conserved protein, DUF2345 family"
COG4255	S	Function_unknown	Uncharacterized protein
COG4259	S	Function_unknown	Uncharacterized protein
COG4267	S	Function_unknown	Uncharacterized membrane protein
COG4269	S	Function_unknown	"Uncharacterized membrane protein YjgN, DUF898 family"
COG4270	S	Function_unknown	Uncharacterized membrane protein
COG4272	S	Function_unknown	Uncharacterized membrane protein
COG4273	S	Function_unknown	"Uncharacterized protein, contains metal-binding DGC domain"
COG4274	S	Function_unknown	"Uncharacterized protein, contains GYD domain"
COG4275	S	Function_unknown	Uncharacterized protein
COG4278	S	Function_unknown	Uncharacterized protein
COG4279	S	Function_unknown	"Uncharacterized conserved protein, contains Zn finger domain"
COG4280	S	Function_unknown	Uncharacterized membrane protein
COG4283	S	Function_unknown	Uncharacterized protein
COG4286	S	Function_unknown	"Uncharacterized protein, UPF0160 family"
COG4288	S	Function_unknown	Uncharacterized protein
COG4289	S	Function_unknown	Uncharacterized protein
COG4291	S	Function_unknown	Uncharacterized membrane protein
COG4292	S	Function_unknown	Low temperature requirement protein LtrA (function unknown)
COG4293	S	Function_unknown	Uncharacterized protein
COG4295	S	Function_unknown	Uncharacterized protein
COG4296	S	Function_unknown	Uncharacterized protein
COG4297	S	Function_unknown	Uncharacterized protein YjlB
COG4298	S	Function_unknown	Uncharacterized protein
COG4304	S	Function_unknown	Uncharacterized protein
COG4306	S	Function_unknown	Uncharacterized protein
COG4307	S	Function_unknown	Uncharacterized protein
COG4309	S	Function_unknown	"Uncharacterized conserved protein, DUF2249 family"
COG4313	S	Function_unknown	Uncharacterized conserved protein
COG4315	S	Function_unknown	Predicted lipoprotein with conserved Yx(FWY)xxD motif (function unknown)
COG4316	S	Function_unknown	Uncharacterized protein
COG4318	S	Function_unknown	Uncharacterized protein
COG4320	S	Function_unknown	"Uncharacterized conserved protein, DUF2252 family"
COG4322	S	Function_unknown	Uncharacterized protein
COG4323	S	Function_unknown	Uncharacterized protein
COG4325	S	Function_unknown	Uncharacterized membrane protein
COG4327	S	Function_unknown	Uncharacterized membrane protein
COG4329	S	Function_unknown	Uncharacterized membrane protein
COG4330	S	Function_unknown	Uncharacterized membrane protein
COG4331	S	Function_unknown	Uncharacterized membrane protein
COG4332	S	Function_unknown	Uncharacterized protein
COG4333	S	Function_unknown	Uncharacterized protein
COG4334	S	Function_unknown	Uncharacterized protein
COG4336	S	Function_unknown	"Uncharacterized protein YcsI, UPF0317 family"
COG4337	S	Function_unknown	Uncharacterized protein
COG4338	S	Function_unknown	Uncharacterized protein
COG4340	S	Function_unknown	Uncharacterized protein
COG4345	S	Function_unknown	Uncharacterized protein
COG4347	S	Function_unknown	Uncharacterized membrane protein YpjA
COG4353	S	Function_unknown	Uncharacterized protein
COG4354	S	Function_unknown	"Uncharacterized protein, contains GBA2_N and DUF608 domains"
COG4357	S	Function_unknown	"Uncharacterized protein, contains Zn-finger domain of CHY type"
COG4365	S	Function_unknown	"Uncharacterized protein YllA, UPF0747 family"
COG4367	S	Function_unknown	Uncharacterized protein
COG4370	S	Function_unknown	Uncharacterized protein
COG4371	S	Function_unknown	Uncharacterized membrane protein
COG4372	S	Function_unknown	"Uncharacterized conserved protein, contains DUF3084 domain"
COG4377	S	Function_unknown	Uncharacterized membrane protein YhfC
COG4378	S	Function_unknown	Uncharacterized protein
COG4380	S	Function_unknown	Uncharacterized protein
COG4390	S	Function_unknown	Uncharacterized protein
COG4391	S	Function_unknown	"Uncharacterized conserved protein, contains Zn-finger domain"
COG4393	S	Function_unknown	Uncharacterized membrane protein
COG4394	S	Function_unknown	Uncharacterized protein
COG4399	S	Function_unknown	"Uncharacterized membrane protein YheB, UPF0754 family"
COG4402	S	Function_unknown	Uncharacterized protein
COG4405	S	Function_unknown	Uncharacterized protein YhfF
COG4408	S	Function_unknown	Uncharacterized protein
COG4420	S	Function_unknown	Uncharacterized membrane protein
COG4423	S	Function_unknown	Uncharacterized protein
COG4425	S	Function_unknown	Uncharacterized membrane protein
COG4427	S	Function_unknown	Uncharacterized protein
COG4430	S	Function_unknown	"Uncharacterized conserved protein YdeI, YjbR/CyaY-like superfamily, DUF1801 family"
COG4443	S	Function_unknown	Uncharacterized protein
COG4446	S	Function_unknown	"Uncharacterized conserved protein, DUF1499 family"
COG4453	S	Function_unknown	"Uncharacterized conserved protein, DUF1778 family"
COG4456	S	Function_unknown	Virulence-associated protein VagC (function unknown)
COG4457	S	Function_unknown	Uncharacterized protein
COG4458	S	Function_unknown	Uncharacterized protein
COG4460	S	Function_unknown	Uncharacterized protein
COG4461	S	Function_unknown	Uncharacterized protein YPO0702
COG4466	S	Function_unknown	Uncharacterized protein Veg
COG4470	S	Function_unknown	Uncharacterized protein YutD
COG4471	S	Function_unknown	"Uncharacterized protein YlbG, UPF0298 family"
COG4472	S	Function_unknown	"Uncharacterized protein, UPF0297 family"
COG4475	S	Function_unknown	"Uncharacterized protein YwlG, UPF0340 family"
COG4476	S	Function_unknown	"Uncharacterized protein YktA, UPF0223 family"
COG4478	S	Function_unknown	Uncharacterized membrane protein
COG4479	S	Function_unknown	"Uncharacterized protein YozE, UPF0346 family"
COG4481	S	Function_unknown	Uncharacterized protein
COG4483	S	Function_unknown	Uncharacterized protein YqgQ
COG4485	S	Function_unknown	Uncharacterized membrane protein YfhO
COG4487	S	Function_unknown	Uncharacterized protein
COG4493	S	Function_unknown	"Uncharacterized protein YktB, UPF0637 family"
COG4495	S	Function_unknown	Uncharacterized protein
COG4496	S	Function_unknown	Uncharacterized protein YerC
COG4499	S	Function_unknown	Uncharacterized membrane protein YukC
COG4506	S	Function_unknown	"Uncharacterized beta-barrel protein YwiB, DUF1934 family"
COG4509	S	Function_unknown	Uncharacterized protein
COG4517	S	Function_unknown	Uncharacterized protein
COG4519	S	Function_unknown	Uncharacterized protein
COG4530	S	Function_unknown	Uncharacterized protein
COG4538	S	Function_unknown	Uncharacterized protein
COG4539	S	Function_unknown	Uncharacterized membrane protein YGL010W
COG4541	S	Function_unknown	Uncharacterized membrane protein
COG4544	S	Function_unknown	Uncharacterized conserved protein
COG4549	S	Function_unknown	Uncharacterized protein YcnI
COG4625	S	Function_unknown	"Uncharacterized conserved protein, contains a C-terminal beta-barrel porin domain"
COG4628	S	Function_unknown	"Uncharacterized conserved protein, DUF2132 family"
COG4640	S	Function_unknown	Uncharacterized membrane protein YvbJ
COG4642	S	Function_unknown	Uncharacterized conserved protein
COG4645	S	Function_unknown	Uncharacterized protein
COG4648	S	Function_unknown	Uncharacterized membrane protein
COG4649	S	Function_unknown	Uncharacterized protein
COG4652	S	Function_unknown	Uncharacterized protein
COG4655	S	Function_unknown	Uncharacterized membrane protein
COG4675	S	Function_unknown	Microcystin-dependent protein (function unknown)
COG4676	S	Function_unknown	"Uncharacterized conserved protein YfaP, DUF2135 family"
COG4681	S	Function_unknown	"Uncharacterized conserved protein YaeQ, suppresses RfaH defect"
COG4682	S	Function_unknown	Uncharacterized membrane protein YiaA
COG4683	S	Function_unknown	Uncharacterized protein
COG4684	S	Function_unknown	Uncharacterized membrane protein
COG4685	S	Function_unknown	"Uncharacterized conserved protein YfaA, DUF2138 family"
COG4687	S	Function_unknown	Uncharacterized protein
COG4688	S	Function_unknown	Uncharacterized protein
COG4697	S	Function_unknown	Uncharacterized protein
COG4698	S	Function_unknown	Uncharacterized protein YpmS
COG4699	S	Function_unknown	Uncharacterized protein
COG4700	S	Function_unknown	Uncharacterized protein
COG4701	S	Function_unknown	Uncharacterized protein
COG4702	S	Function_unknown	"Uncharacterized protein, UPF0303 family"
COG4703	S	Function_unknown	Uncharacterized protein YkuJ
COG4704	S	Function_unknown	"Uncharacterized conserved protein, DUF2141 family"
COG4705	S	Function_unknown	Uncharacterized membrane-anchored protein
COG4708	S	Function_unknown	Uncharacterized membrane protein
COG4709	S	Function_unknown	Uncharacterized membrane protein
COG4711	S	Function_unknown	Uncharacterized membrane protein
COG4712	S	Function_unknown	Uncharacterized protein
COG4713	S	Function_unknown	Uncharacterized membrane protein
COG4714	S	Function_unknown	Uncharacterized membrane-anchored protein
COG4715	S	Function_unknown	"Uncharacterized conserved protein, contains Zn finger domain"
COG4716	S	Function_unknown	Myosin-crossreactive antigen (function unknown)
COG4717	S	Function_unknown	Uncharacterized protein YhaN
COG4719	S	Function_unknown	Uncharacterized protein
COG4720	S	Function_unknown	Uncharacterized membrane protein
COG4727	S	Function_unknown	Uncharacterized protein
COG4728	S	Function_unknown	Uncharacterized protein
COG4729	S	Function_unknown	Uncharacterized protein
COG4731	S	Function_unknown	"Uncharacterized conserved protein, DUF2147 family"
COG4732	S	Function_unknown	Predicted membrane protein
COG4735	S	Function_unknown	"Uncharacterized protein YaaW, UPF0174 family"
COG4737	S	Function_unknown	Uncharacterized protein
COG4739	S	Function_unknown	"Uncharacterized protein, contains ferredoxin domain"
COG4743	S	Function_unknown	Uncharacterized membrane protein
COG4744	S	Function_unknown	Uncharacterized protein
COG4746	S	Function_unknown	Uncharacterized protein
COG4747	S	Function_unknown	"Uncharacterized conserved protein, contains tandem ACT domains"
COG4748	S	Function_unknown	Uncharacterized protein
COG4749	S	Function_unknown	Uncharacterized protein
COG4752	S	Function_unknown	Uncharacterized protein
COG4754	S	Function_unknown	Uncharacterized protein
COG4755	S	Function_unknown	Uncharacterized protein
COG4758	S	Function_unknown	Predicted membrane protein
COG4759	S	Function_unknown	Uncharacterized protein
COG4760	S	Function_unknown	"Uncharacterized membrane protein, YccA/Bax inhibitor family"
COG4762	S	Function_unknown	"Uncharacterized protein, UPF0548 family"
COG4763	S	Function_unknown	Uncharacterized membrane protein YcfT
COG4764	S	Function_unknown	Uncharacterized protein
COG4765	S	Function_unknown	Uncharacterized protein
COG4768	S	Function_unknown	"Uncharacterized protein YoxC, contains an MCP-like domain"
COG4769	S	Function_unknown	Uncharacterized membrane protein
COG4803	S	Function_unknown	Uncharacterized membrane protein
COG4805	S	Function_unknown	"Uncharacterized conserved protein, DUF885 familyt"
COG4807	S	Function_unknown	"Uncharacterized conserved protein YehS, DUF1456 family"
COG4808	S	Function_unknown	"Uncharacterized lipoprotein YehR, DUF1307 family"
COG4811	S	Function_unknown	"Uncharacterized membrane protein YobD, UPF0266 family"
COG4814	S	Function_unknown	Uncharacterized protein with an alpha/beta hydrolase fold
COG4815	S	Function_unknown	Uncharacterized protein
COG4818	S	Function_unknown	Uncharacterized membrane protein
COG4825	S	Function_unknown	Uncharacterized membrane-anchored protein
COG4828	S	Function_unknown	Uncharacterized membrane protein
COG4832	S	Function_unknown	Uncharacterized protein
COG4834	S	Function_unknown	Uncharacterized protein
COG4835	S	Function_unknown	Uncharacterized protein
COG4836	S	Function_unknown	Uncharacterized membrane protein YwzB
COG4838	S	Function_unknown	"Uncharacterized protein YlaN, UPF0358 family"
COG4840	S	Function_unknown	"Uncharacterized protein YfkK, UPF0435 family"
COG4841	S	Function_unknown	Uncharacterized protein YneR
COG4842	S	Function_unknown	Uncharacterized conserved protein YukE
COG4843	S	Function_unknown	"Uncharacterized protein YebE, UPF0316 family"
COG4844	S	Function_unknown	"Uncharacterized protein YuzB, UPF0349 family"
COG4847	S	Function_unknown	Uncharacterized protein
COG4848	S	Function_unknown	"Uncharacterized protein YtpQ, UPF0354 family"
COG4852	S	Function_unknown	Uncharacterized membrane protein
COG4854	S	Function_unknown	Uncharacterized membrane protein
COG4856	S	Function_unknown	"Uncharacterized protein, YbbR domain"
COG4858	S	Function_unknown	Uncharacterized membrane-anchored protein
COG4859	S	Function_unknown	Uncharacterized protein
COG4861	S	Function_unknown	Uncharacterized protein
COG4864	S	Function_unknown	"Uncharacterized protein YqfA, UPF0365 family"
COG4866	S	Function_unknown	Uncharacterized protein
COG4867	S	Function_unknown	"Uncharacterized protein, contains von Willebrand factor type A (vWA) domain"
COG4868	S	Function_unknown	"Uncharacterized protein, UPF0371 family"
COG4872	S	Function_unknown	Uncharacterized membrane protein
COG4873	S	Function_unknown	Uncharacterized protein YkvS
COG4874	S	Function_unknown	Uncharacterized protein
COG4875	S	Function_unknown	Uncharacterized protein
COG4876	S	Function_unknown	Uncharacterized protein YdaT
COG4877	S	Function_unknown	Uncharacterized protein
COG4878	S	Function_unknown	Uncharacterized protein
COG4879	S	Function_unknown	Uncharacterized protein
COG4881	S	Function_unknown	Predicted membrane protein
COG4883	S	Function_unknown	Uncharacterized protein
COG4884	S	Function_unknown	"Uncharacterized conserved protein YfeS, contains WGR domain"
COG4885	S	Function_unknown	Uncharacterized protein
COG4887	S	Function_unknown	Uncharacterized metal-binding protein conserved in archaea
COG4890	S	Function_unknown	Predicted outer membrane lipoprotein
COG4891	S	Function_unknown	Uncharacterized protein
COG4893	S	Function_unknown	Uncharacterized protein
COG4894	S	Function_unknown	Uncharacterized protein YxjI
COG4895	S	Function_unknown	Uncharacterized protein YwbE
COG4896	S	Function_unknown	Uncharacterized protein YlaI
COG4897	S	Function_unknown	General stress protein CsbA (function unknown)
COG4898	S	Function_unknown	Uncharacterized protein
COG4899	S	Function_unknown	Uncharacterized protein
COG4902	S	Function_unknown	Uncharacterized protein
COG4904	S	Function_unknown	Uncharacterized protein
